"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"SP2",0.311623246492986,0.788744699987151,0.0679922591544058,-0.228475882297092,-1.05157016622417,685,"NR2C2",44,1
"SPI1",0.897897897897898,0.974498746867168,0.0155348639580133,-0.190267221112793,-0.883101011915548,943,"NR2C2",82,1
"SPI1",0.98496993987976,1,0.00617356336775808,-0.171616541355577,-0.792330128845265,776,"NR2C2",93,1
"SRF",0.539614561027837,0.91115245550602,0.0453152441270267,-0.225664681304234,-0.972866423130187,217,"NR2C2",62,1
"STAT3",0.35873388042204,0.821101992966002,0.0687943095604775,-0.266281418396382,-1.05680551427756,101,"NR2C2",42,1
"STAT3",0.664300202839757,0.954094447512336,0.0331626424471441,-0.207396151302937,-0.939243709773111,477,"NR2C2",69,1
"STAT5A",0.59047619047619,0.950297619047619,0.178219874951973,0.185762088583584,0.974190289978076,157,"NR2C2",61,1
"SUZ12",0.407486631016043,0.826942044423403,0.0582216241124161,-0.236604455358491,-1.02371023831303,228,"NR2C2",51,1
"TAF1",0.0909090909090909,0.531635031635032,0.144630528034484,-0.230505893618365,-1.08366336457642,2615,"NR2C2",32,1
"TAF7",0.975634517766497,1,0.00930780437504605,-0.168995731149372,-0.761821259708194,441,"NR2C2",98,1
"TCF3",0.0893401015228426,0.531635031635032,0.147331213699377,-0.260095572861432,-1.17601102672028,470,"NR2C2",13,1
"TCF3",0.201807228915663,0.692871485943775,0.0911073131586733,-0.238907515378254,-1.09730718948348,624,"NR2C2",27,1
"TCF7L2",0.0233322669893319,0.343317642843026,0.352487857583619,-0.286869867194659,-1.28640013639684,386,"NR2C2",6,1
"TP53",0.828667413213886,0.974498746867168,0.0270967423183296,-0.199877086570916,-0.828796780514495,140,"NR2C2",87,1
"TP63",0.357575757575758,0.821101992966002,0.0617054053637522,-0.228144760932067,-1.03884801563196,521,"NR2C2",45,1
"TRIM28",0.667857142857143,0.954094447512336,0.0404114482034376,-0.227335563227494,-0.885390562679315,85,"NR2C2",81,1
"TRIM28",0.288732394366197,0.762549656915854,0.0799858801499946,-0.273800442179095,-1.09566314599295,107,"NR2C2",28,1
"UBTF",0.144855144855145,0.621669996669997,0.11101149245045,-0.233890931144753,-1.09040035421333,1222,"NR2C2",29,1
"USF1",0.2002002002002,0.692871485943775,0.0913924325943768,-0.232346690055667,-1.07978772077854,993,"NR2C2",34,1
"USF2",0.556112224448898,0.92386385674575,0.0409055783172035,-0.213029972165278,-0.983449749685367,765,"NR2C2",58,1
"VDR",0.676202860858257,0.954094447512336,0.0438879842863647,-0.248742335485257,-0.862445533262636,43,"NR2C2",86,1
"YY1",0.00702717482176607,0.180949751660476,0.407017918923954,-0.24770345080524,-1.16255475445052,2111,"NR2C2",15,1
"YY1",0.609989373007439,0.951430274135876,0.0393561959521291,-0.216000269855318,-0.944019574952354,262,"NR2C2",67,1
"ZBTB33",0.73407482305359,0.974498746867168,0.0280810636309052,-0.202112512982321,-0.919801782432927,518,"NR2C2",75,1
"ZBTB7A",0.771228771228771,0.974498746867168,0.0248493879589072,-0.201372895927101,-0.939994086706229,1414,"NR2C2",68,1
"ZC3H11A",0.780487804878049,0.974498746867168,0.0342688261591917,-0.214954143274318,-0.825283916619647,77,"NR2C2",88,1
"ZEB1",0.823809523809524,0.974498746867168,0.0999276973731092,0.1924263986871,0.825251487415554,55,"NR2C2",89,1
"ZKSCAN1",0.0345238095238095,0.39510582010582,0.266350657088526,-0.361467837931446,-1.40778771201906,85,"NR2C2",2,1
"ZMIZ1",0.968937875751503,1,0.00855469372683394,-0.174584641442338,-0.803951309697278,700,"NR2C2",92,1
"ZNF384",0.533266129032258,0.91115245550602,0.0431036828790402,-0.215520579717911,-0.986619749650783,588,"NR2C2",57,1
"AR",0.931034482758621,1,0.276500599254472,0.165690050155974,0.917920283556518,431,"NRF1",72,1
"ATF2",0.517482517482518,0.988533988533989,0.0440640346597561,-0.211062307474363,-0.997921424114274,2025,"NRF1",49,1
"ATF3",0.606914212548015,0.988533988533989,0.0481183992657975,-0.242545138095469,-0.922732839470964,85,"NRF1",67,1
"BCL3",0.170114942528736,0.59833531510107,0.109684061970549,-0.283555392170477,-1.19045586774094,160,"NRF1",21,1
"BCLAF1",0.813197969543147,1,0.0227981839377501,-0.193963593382818,-0.895400149236266,605,"NRF1",77,1
"BHLHE40",0.514254385964912,0.988533988533989,0.0486034247259069,-0.22542128633291,-0.989887991212073,268,"NRF1",52,1
"BRCA1",0.755244755244755,1,0.0259735747969448,-0.201136623216307,-0.95316319868683,2347,"NRF1",59,1
"CBX3",0.944809461235217,1,0.0285743975105342,-0.191064595821141,-0.678053128444067,53,"NRF1",100,1
"CEBPB",0.110705596107056,0.470498783454988,0.144630528034484,-0.311166185400787,-1.24179488549919,113,"NRF1",17,1
"CEBPD",0.0396744659206511,0.23789020452099,0.227987202850442,-0.266053975353823,-1.22213213638743,541,"NRF1",19,1
"CHD1",0.00846408812211057,0.0719447490379399,0.380730400722792,-0.280349507829314,-1.2858914118565,526,"NRF1",12,1
"CREB1",0.984015984015984,1,0.00581457622839549,-0.177439240301589,-0.834478952540915,1625,"NRF1",90,1
"CREB1",0.925925925925926,1,0.0130773356900516,-0.185013814807928,-0.864731619053236,1124,"NRF1",85,1
"CTCF",0.390170511534604,0.846753025032544,0.0572461135202884,-0.220004006959579,-1.02717132135246,939,"NRF1",46,1
"E2F1",0.0891590678824721,0.454711246200608,0.147331213699377,-0.249684861195796,-1.15577571929877,673,"NRF1",24,1
"E2F4",0.790437436419125,1,0.0244973552519294,-0.196118412665372,-0.905398545814567,613,"NRF1",75,1
"E2F6",7.50164844571844e-05,0.00153033628292656,0.538434096309916,-0.266286583047842,-1.26083931578436,2119,"NRF1",15,1
"EGR1",0.209806157354618,0.668757126567845,0.096240602328129,-0.271426393877524,-1.14876143978297,181,"NRF1",25,1
"EGR1",0.35856992639327,0.831230283911672,0.0635007968065945,-0.232723317317052,-1.04728053437361,368,"NRF1",44,1
"ELF1",0.743256743256743,1,0.0268158762373842,-0.201964760053332,-0.952052490477664,1798,"NRF1",60,1
"ERG",0.639405204460966,0.988533988533989,0.0442407423477375,-0.231924114425556,-0.918440708655842,108,"NRF1",70,1
"ESR1",0.723404255319149,1,0.0418238690062304,-0.236982053164377,-0.858087243310892,61,"NRF1",86,1
"ETS1",0.020781153144383,0.141311841381805,0.352487857583619,-0.343212459435973,-1.39424621010934,130,"NRF1",6,1
"EZH2",0.63963963963964,0.988533988533989,0.0459538081039063,-0.241471350064603,-0.914408039231679,83,"NRF1",73,1
"EZH2",0.583690987124464,0.988533988533989,0.0550211117163117,-0.286115776837276,-0.92630854159028,34,"NRF1",65,1
"FLI1",0.312309257375382,0.777142857142857,0.0686325631836726,-0.230883612869363,-1.05805990871994,516,"NRF1",40,1
"FOS",0.637577002053388,0.988533988533989,0.0356933083353341,-0.207486511667642,-0.944592448076808,437,"NRF1",61,1
"FOSL2",0.649870801033592,0.989355547842184,0.0454059226590179,-0.239892969300723,-0.906415688791942,82,"NRF1",74,1
"FOXA1",0.930487804878049,1,0.0254820564855004,-0.183944234819957,-0.737010021780458,119,"NRF1",98,1
"FOXA2",0.55363321799308,0.988533988533989,0.0475434194201301,-0.229542339772539,-0.956433891310349,154,"NRF1",58,1
"FOXM1",0.869509043927649,1,0.0318534652552707,-0.201998562284165,-0.763234814682132,82,"NRF1",95,1
"FOXP2",0.779069767441861,1,0.116234148779716,0.179334679334219,0.891894448986739,123,"NRF1",78,1
"GABPA",0.998001998001998,1,0.00204130030921835,-0.161810961899871,-0.76007691030465,1553,"NRF1",97,1
"GATA1",0.0344797187197228,0.219808206838233,0.321775918075361,0.208737401249336,1.15791433068658,453,"NRF1",23,1
"GATA2",1,1,0.143902565267782,0.169227545199683,0.930071617168552,448,"NRF1",63,1
"HDAC2",0.0487804878048781,0.261874197689345,0.224966093540314,-0.331977436951089,-1.32916594306589,116,"NRF1",9,1
"HNF4A",0.225609756097561,0.672,0.0855356947987884,-0.234749396720753,-1.08435900732477,622,"NRF1",37,1
"IRF1",0.48,0.988533988533989,0.181383128498408,0.188610540115642,0.990225018706671,181,"NRF1",51,1
"IRF3",1,1,NA,0.152394924094176,0.845369662918043,453,"NRF1",89,1
"IRF8",0.667112299465241,0.992152264116904,0.04577044581081,-0.251716177372496,-0.882657581050905,48,"NRF1",80,1
"KAT2A",0.00790515642043868,0.0719447490379399,0.380730400722792,-0.422484681665618,-1.54480504830045,67,"NRF1",4,1
"KLF4",0.00677035118563047,0.0690575820934308,0.407017918923954,-0.278363470735151,-1.28458372148651,596,"NRF1",13,1
"MAX",2.83439333707897e-05,0.000722770300955137,0.575610261071129,-0.277468089112951,-1.30557484346515,1649,"NRF1",11,1
"MYC",4.5589950285424e-06,0.000155005830970442,0.610526878385931,-0.342537827409333,-1.5659649157677,477,"NRF1",3,1
"MYC",5.6567838470726e-12,2.88495976200702e-10,0.887074988399873,-0.336590642205292,-1.57709426650119,1219,"NRF1",2,1
"MYOD1",0.596774193548387,0.988533988533989,0.109684061970549,0.221784375169592,0.918031841843893,52,"NRF1",71,1
"NANOG",0.0419806243272336,0.23789020452099,0.227987202850442,-0.286712525572834,-1.27155715938627,292,"NRF1",14,1
"NELFE",0.0992018244013683,0.459935731315435,0.148261500475107,-0.294125900431473,-1.24483285516288,181,"NRF1",16,1
"NFE2L2",0.883554647599591,1,0.0180905963991599,-0.18572592996819,-0.84689773816005,452,"NRF1",88,1
"NFIC",0.106455266138165,0.470498783454988,0.142056643575821,-0.288843231857095,-1.2284882758339,190,"NRF1",18,1
"NFYA",NA,NA,NA,0.154142314608555,NA,1538,"NRF1",103,1
"NFYB",1,1,0,-0.160817745117443,-0.762102838648256,2446,"NRF1",96,1
"NR2C2",0.341008771929825,0.80890452876377,0.0679922591544058,-0.240330627027265,-1.0553590811447,268,"NRF1",41,1
"NRF1",4.38535414448375e-27,4.47306122737343e-25,1.34992572002205,-0.393742193466722,-1.84516953244485,1369,"NRF1",1,1
"PBX3",0.884072580645161,1,0.0171553985751332,-0.187061361890983,-0.870276725586623,810,"NRF1",83,1
"PML",0.0152003167004877,0.119264023342288,0.380730400722792,-0.257227881523556,-1.20401002568479,1162,"NRF1",20,1
"POU5F1",0.0198436936313856,0.141311841381805,0.352487857583619,-0.338647024585508,-1.38267664382156,133,"NRF1",8,1
"PPARD",0.515679442508711,0.988533988533989,0.0511147954416412,-0.235923466498455,-0.976206728201073,146,"NRF1",55,1
"PPARG",0.00231958422667024,0.0295746988900455,0.431707695803346,-0.312728710069572,-1.40380529986057,350,"NRF1",5,1
"RAD21",0.997955010224949,1,0.00730167173587984,-0.156509198998938,-0.715348918455554,481,"NRF1",99,1
"RCOR1",0.376398779247202,0.836846514369928,0.0596037042575973,-0.225852696293308,-1.03500495446361,516,"NRF1",45,1
"RELA",0.255482456140351,0.704302987197724,0.0828962134571565,-0.252786489744364,-1.10494100108726,256,"NRF1",32,1
"REST",0.983418367346939,1,0.024919740580511,-0.1629378611374,-0.622020666296688,86,"NRF1",102,1
"REST",0.546571136131013,0.988533988533989,0.0426733861156084,-0.214081453734031,-0.976111501170655,440,"NRF1",56,1
"RFX5",0.377401369225654,0.836846514369928,0.203508959461977,0.17974923451288,1.01376563851535,373,"NRF1",47,1
"RUNX1",0.142280524722503,0.541847765518779,0.112843355675562,-0.240398625931378,-1.11802047926112,808,"NRF1",29,1
"SALL4",0.481271282633371,0.988533988533989,0.0532386494755899,-0.234134287787943,-0.994855250944735,196,"NRF1",50,1
"SIN3A",0.193969849246231,0.659497487437186,0.0934449219410994,-0.233957021801407,-1.09051674918163,880,"NRF1",36,1
"SIX5",0.559837728194726,0.988533988533989,0.0411544018789903,-0.211850869410094,-0.981651175849165,702,"NRF1",54,1
"SMAD4",0.946428571428571,1,0.132846300606183,0.15538422798848,0.822818573593057,198,"NRF1",91,1
"SMC3",0.739572736520855,1,0.0280106629226489,-0.200719135337914,-0.92279093399512,557,"NRF1",66,1
"SOX2",0.595833333333333,0.988533988533989,0.0395172228473919,-0.21244562192491,-0.959384275982821,377,"NRF1",57,1
"SP1",0.880733944954128,1,0.0181674946847152,-0.186037974885597,-0.852363479582883,503,"NRF1",87,1
"SP2",1,1,0.00562708211299112,-0.140661772184198,-0.651692320201853,685,"NRF1",101,1
"SPI1",0.143430290872618,0.541847765518779,0.111918316325105,-0.237177840886371,-1.10731474300363,943,"NRF1",31,1
"SPI1",0.228744939271255,0.672,0.0845557442441281,-0.23225463052388,-1.07958492166008,776,"NRF1",38,1
"SRF",0.280662983425414,0.753358534457691,0.0782955249944794,-0.255520957633,-1.10390901042718,217,"NRF1",33,1
"STAT3",0.32,0.777142857142857,0.0778840111977068,-0.279531875945537,-1.09498761392163,101,"NRF1",35,1
"STAT3",0.827374872318693,1,0.0221551238181839,-0.191265019348017,-0.874397762658504,477,"NRF1",82,1
"STAT5A",0.120956194426685,0.493501273260875,0.287805130535564,0.221725524979574,1.12805890659195,157,"NRF1",28,1
"SUZ12",0.31,0.777142857142857,0.257206466468838,0.192714397730665,1.04756972332589,228,"NRF1",42,1
"TAF1",0.00360731540970511,0.0408829079766579,0.431707695803346,-0.246107941311181,-1.16611206826962,2615,"NRF1",22,1
"TAF7",0.151484135107472,0.55183506360579,0.109684061970549,-0.249365733892857,-1.13716116459497,441,"NRF1",27,1
"TCF3",0.00182375707904275,0.0265747460089086,0.45505986738723,-0.304134421520001,-1.38866943518665,470,"NRF1",7,1
"TCF3",0.758375634517766,1,0.0266052822097738,-0.198866341771831,-0.91902983794345,624,"NRF1",69,1
"TCF7L2",0.671161825726141,0.992152264116904,0.0337507376805299,-0.204960025459247,-0.926384785062137,386,"NRF1",64,1
"TP53",0.230588235294118,0.672,0.0925528864684773,-0.277610480399036,-1.14230604855714,140,"NRF1",26,1
"TP63",0.818737270875764,1,0.0225842720346634,-0.192944361974315,-0.884691372819697,521,"NRF1",79,1
"TRIM28",0.63764404609475,0.988533988533989,0.0458620343117985,-0.237766525510411,-0.904553201676673,85,"NRF1",76,1
"TRIM28",0.615384615384615,0.988533988533989,0.0460457683018055,-0.235124165397592,-0.93015278952275,107,"NRF1",62,1
"UBTF",0.805,1,0.0225128737259091,-0.196633806496425,-0.921715038487173,1222,"NRF1",68,1
"USF1",0.545636910732197,0.988533988533989,0.0418238690062304,-0.211035996236357,-0.98621881963808,993,"NRF1",53,1
"USF2",0.493927125506073,0.988533988533989,0.046788296531803,-0.21530211089204,-0.999767050165307,765,"NRF1",48,1
"VDR",0.757909215955983,1,0.0412376090540065,-0.238982087814198,-0.822544701896938,43,"NRF1",92,1
"YY1",0.250749250749251,0.704302987197724,0.0789209638180035,-0.2212156196894,-1.04745107820717,2111,"NRF1",43,1
"YY1",0.315904139433551,0.777142857142857,0.0714786287425507,-0.244103373386557,-1.07125922070731,262,"NRF1",39,1
"ZBTB33",0.938837920489297,1,0.0134461833974729,-0.177005648392895,-0.810720405680563,518,"NRF1",93,1
"ZBTB7A",0.0990990990990991,0.459935731315435,0.138022242496643,-0.236444107666477,-1.10866509113999,1414,"NRF1",30,1
"ZC3H11A",0.876068376068376,1,0.0899860794997137,0.17830182035158,0.809685119879315,77,"NRF1",94,1
"ZEB1",0.699080157687254,1,0.042845050912155,-0.243223907867132,-0.868804498872652,55,"NRF1",84,1
"ZKSCAN1",0.686299615877081,1,0.0425023180036553,-0.231521698003199,-0.880795531401426,85,"NRF1",81,1
"ZMIZ1",0.00176245988159094,0.0265747460089086,0.45505986738723,-0.28570797188081,-1.32438524115522,700,"NRF1",10,1
"ZNF384",0.206091370558376,0.668757126567845,0.0905428948469474,-0.237511795687355,-1.09649511480172,588,"NRF1",34,1
"AR",0.00509663228691749,0.0479566797600387,0.407017918923954,0.273104300833227,1.3760798137119,431,"PBX3",6,78
"ATF2",0.24217961654894,0.502796208530806,0.0813027345384498,0.196587929199805,1.05434876655567,2025,"PBX3",54,78
"ATF3",0.827586206896552,0.919446095328658,0.0391956336118146,0.192921340173258,0.80884664507579,85,"PBX3",98,78
"BCL3",0.00558718599146082,0.0479566797600387,0.407017918923954,-0.283015901976161,-1.43718248117619,160,"PBX3",4,78
"BCLAF1",0.214521452145215,0.480341512412111,0.0928481214159878,0.21178810306696,1.08727285966036,605,"PBX3",49,78
"BHLHE40",0.0235438244135497,0.134722995255312,0.352487857583619,0.275003631591538,1.33422193242369,268,"PBX3",9,78
"BRCA1",0.0442211055276382,0.17518361035949,0.213927855492356,0.209622632246889,1.12711699450422,2347,"PBX3",40,78
"CBX3",0.817927170868347,0.919446095328658,0.0711327399327894,-0.196956588524868,-0.831627219490235,53,"PBX3",95,78
"CEBPB",0.480796586059744,0.69691377834831,0.0639271933359996,0.230405635843207,0.993319580624196,113,"PBX3",72,78
"CEBPD",0.21324354657688,0.480341512412111,0.0943563635421779,0.213879965464287,1.09399791973653,541,"PBX3",46,78
"CHD1",0.164027149321267,0.412068204392451,0.11101149245045,0.21818217812843,1.11160366403912,526,"PBX3",42,78
"CREB1",0.10393541876892,0.289333733329697,0.135002033828631,0.206780720755534,1.1074389516639,1625,"PBX3",43,78
"CREB1",0.47871235721703,0.69691377834831,0.0493910105981501,0.189075860362413,1.0009137860713,1124,"PBX3",68,78
"CTCF",0.960251046025105,0.989058577405858,0.0137183520206939,0.157144696722343,0.827177574257864,939,"PBX3",96,78
"E2F1",0.567066521264995,0.723070431179991,0.0438879842863647,0.189296373323399,0.97878974488683,673,"PBX3",77,78
"E2F4",0.000299900504693075,0.0243492481512233,0.49849310876659,0.277563710077666,1.42581164877198,613,"PBX3",5,78
"E2F6",0.000977176521139928,0.0286038510207752,0.45505986738723,0.230748467751968,1.23876764048856,2119,"PBX3",21,78
"EGR1",0.4375,0.68682922979798,0.0642140881844605,0.216107051833263,1.00616294445238,181,"PBX3",66,78
"EGR1",0.699052132701422,0.818208746230073,0.0380842053196415,0.186569310343953,0.926379162348491,368,"PBX3",86,78
"ELF1",0.0372983870967742,0.171666666666667,0.234392647294686,0.214268284416457,1.14847630603644,1798,"PBX3",33,78
"ERG",0.0893617021276596,0.262978723404255,0.176694268938498,0.294310022808839,1.26537245902027,108,"PBX3",15,78
"ESR1",0.993930197268589,0.993930197268589,0.0331626424471441,0.147051292230576,0.576429623750287,61,"PBX3",103,78
"ETS1",0.987586206896552,0.993930197268589,0.0287861460642093,0.153037100154807,0.678177870988332,130,"PBX3",102,78
"EZH2",0.539912917271408,0.712961929217372,0.0593487680335629,0.233911088841876,0.97212018960588,83,"PBX3",80,78
"EZH2",0.356545961002786,0.618518518518518,0.119348440591015,-0.282345359594543,-1.04641794790657,34,"PBX3",56,78
"FLI1",0.0736126840317101,0.249069013880157,0.173747838999571,0.230387205375332,1.17333409094331,516,"PBX3",28,78
"FOS",0.0234374038735378,0.134722995255312,0.352487857583619,0.252471377618121,1.27190344014425,437,"PBX3",13,78
"FOSL2",0.672025723472669,0.795616661122815,0.0888945288620449,-0.200205489426903,-0.903446872625433,82,"PBX3",89,78
"FOXA1",0.291960507757405,0.556887635166902,0.0894366833718621,0.250257637875705,1.08891020199033,119,"PBX3",48,78
"FOXA2",0.271989174560216,0.549311470190241,0.0911073131586733,0.242462993162904,1.09887440885354,154,"PBX3",45,78
"FOXM1",0.00340339095809029,0.0438186585854124,0.431707695803346,0.396012589685526,1.6440349846154,82,"PBX3",1,78
"FOXP2",0.479889042995839,0.69691377834831,0.0628003977812234,0.227445674192186,0.99838209894184,123,"PBX3",71,78
"GABPA",0.938071065989848,0.981222923202445,0.0131702144400005,0.162831556588733,0.870525730135235,1553,"PBX3",93,78
"GATA1",0.0735254653631109,0.249069013880157,0.287805130535564,-0.194467473772559,-1.11562177072006,453,"PBX3",41,78
"GATA2",0.581527936145952,0.723070431179991,0.044774889329693,0.191126825231973,0.968165925881917,448,"PBX3",81,78
"HDAC2",0.589235127478754,0.723070431179991,0.0541200569620232,0.217376694745057,0.943781005249366,116,"PBX3",84,78
"HNF4A",0.176600441501104,0.433091558919374,0.104732821580651,0.21405313176003,1.10023531449859,622,"PBX3",44,78
"IRF1",0.440104166666667,0.68682922979798,0.0639271933359996,0.21600917600861,1.00570724887425,181,"PBX3",67,78
"IRF3",0.0341463458083781,0.167479696107759,0.321775918075361,0.247776087134531,1.25730842259488,453,"PBX3",18,78
"IRF8",0.499241274658574,0.69691377834831,0.0652353056017703,0.257642914202291,0.97258246525036,48,"PBX3",79,78
"KAT2A",0.57957957957958,0.723070431179991,0.0934449219410994,-0.21512681276397,-0.940188210528271,67,"PBX3",85,78
"KLF4",0.502750275027503,0.69691377834831,0.0497903187820785,0.194603850621949,0.998814073572086,596,"PBX3",70,78
"MAX",0.0025175040103947,0.0432171521784424,0.431707695803346,0.229633743265783,1.23018181510632,1649,"PBX3",23,78
"MYC",0.0400395720392967,0.171666666666667,0.321775918075361,0.24538815573592,1.24898528580036,477,"PBX3",19,78
"MYC",0.0799180327868853,0.249441132637854,0.157402899305283,0.213038642694343,1.13190588884775,1219,"PBX3",37,78
"MYOD1",0.880555555555556,0.944762731481481,0.0670512579829467,-0.182285149470641,-0.769016876591827,52,"PBX3",100,78
"NANOG",0.127737226277372,0.346235113330772,0.133554954557592,0.240233723675262,1.17535984693094,292,"PBX3",27,78
"NELFE",0.725260416666667,0.839346324906367,0.0407403526717903,0.188781662258059,0.878939912163236,181,"PBX3",92,78
"NFE2L2",0.35527809307605,0.618518518518518,0.0676760401641789,0.205352767733734,1.04083816371786,452,"PBX3",59,78
"NFIC",0.736636245110821,0.843039258293496,0.0400845633477088,0.18921007968242,0.882154077484415,190,"PBX3",91,78
"NFYA",0.00111082916585535,0.0286038510207752,0.45505986738723,0.235239941058874,1.25827950383862,1538,"PBX3",17,78
"NFYB",0.00907852901824434,0.0719298837599359,0.380730400722792,0.217643692440549,1.17151132286904,2446,"PBX3",29,78
"NR2C2",0.278668310727497,0.550161972353421,0.0845557442441281,0.223365647781253,1.08369240251496,268,"PBX3",51,78
"NRF1",0.01526447770756,0.0982650752424173,0.380730400722792,0.223351194200147,1.19185299556027,1369,"PBX3",26,78
"PBX3",0.58968850698174,0.723070431179991,0.0414044273760278,0.186520351744319,0.974809123172339,810,"PBX3",78,78
"PML",0.388259526261586,0.645011793628119,0.0587185879555941,0.193930119090851,1.02774872367057,1162,"PBX3",62,78
"POU5F1",0.497936726272352,0.69691377834831,0.060640400949416,0.220876847819286,0.979747016442654,133,"PBX3",76,78
"PPARD",0.212449255751015,0.480341512412111,0.105920292736253,0.254558329224323,1.14433008594548,146,"PBX3",35,78
"PPARG",0.244075829383886,0.502796208530806,0.0897104652742981,0.218391581612941,1.08424438413098,350,"PBX3",50,78
